x = {{0.0, 0.0},
{1.0, 0.045},
{2.0, 0.05},
{3.0, 0.05},
{4.0, 0.105},
{5.0, 0.105},
{6.0, 0.125},
{7.0, 0.155},
{8.0, 0.135},
{9.0, 0.225},
{10.0, 0.25},
{11.0, 0.245},
{12.0, 0.205},
{13.0, 0.31},
{14.0, 0.295},
{15.0, 0.33},
{16.0, 0.33},
{17.0, 0.365},
{18.0, 0.36},
{19.0, 0.42},
{20.0, 0.41},
{21.0, 0.435},
{22.0, 0.415},
{23.0, 0.4},
{24.0, 0.43},
{25.0, 0.49},
{26.0, 0.505},
{27.0, 0.545},
{28.0, 0.41},
{29.0, 0.395},
{30.0, 0.56},
{31.0, 0.47},
{32.0, 0.54},
{33.0, 0.605},
{34.0, 0.56},
{35.0, 0.54},
{36.0, 0.585},
{37.0, 0.585},
{38.0, 0.6},
{39.0, 0.6},
{40.0, 0.605},
{41.0, 0.585},
{42.0, 0.615},
{43.0, 0.565},
{44.0, 0.6},
{45.0, 0.6},
{46.0, 0.655},
{47.0, 0.725},
{48.0, 0.7},
{49.0, 0.73},
{50.0, 0.715},
{51.0, 0.675},
{52.0, 0.68},
{53.0, 0.68},
{54.0, 0.605},
{55.0, 0.715},
{56.0, 0.705},
{57.0, 0.69},
{58.0, 0.675},
{59.0, 0.765},
{60.0, 0.74},
{61.0, 0.735},
{62.0, 0.705},
{63.0, 0.7},
{64.0, 0.69},
{65.0, 0.685},
{66.0, 0.77},
{67.0, 0.785},
{68.0, 0.76},
{69.0, 0.745},
{70.0, 0.745},
{71.0, 0.73},
{72.0, 0.77},
{73.0, 0.75},
{74.0, 0.785},
{75.0, 0.83},
{76.0, 0.805},
{77.0, 0.76},
{78.0, 0.76},
{79.0, 0.875},
{80.0, 0.845},
{81.0, 0.82},
{82.0, 0.795},
{83.0, 0.855},
{84.0, 0.845},
{85.0, 0.76},
{86.0, 0.845},
{87.0, 0.86},
{88.0, 0.85},
{89.0, 0.84},
{90.0, 0.795},
{91.0, 0.87},
{92.0, 0.815},
{93.0, 0.885},
{94.0, 0.85},
{95.0, 0.87},
{96.0, 0.86},
{97.0, 0.8},
{98.0, 0.88},
{99.0, 0.825},
{100.0, 0.86},
{101.0, 0.8},
{102.0, 0.835},
{103.0, 0.905},
{104.0, 0.88},
{105.0, 0.875},
{106.0, 0.895},
{107.0, 0.9},
{108.0, 0.885},
{109.0, 0.89},
{110.0, 0.86},
{111.0, 0.85},
{112.0, 0.885},
{113.0, 0.855},
{114.0, 0.885},
{115.0, 0.87},
{116.0, 0.865},
{117.0, 0.85},
{118.0, 0.88},
{119.0, 0.915},
{120.0, 0.91},
{121.0, 0.895},
{122.0, 0.845},
{123.0, 0.88},
{124.0, 0.88},
{125.0, 0.865},
{126.0, 0.845},
{127.0, 0.915},
{128.0, 0.91},
{129.0, 0.9},
{130.0, 0.875},
{131.0, 0.875},
{132.0, 0.875},
{133.0, 0.9},
{134.0, 0.945},
{135.0, 0.885},
{136.0, 0.9},
{137.0, 0.895},
{138.0, 0.92},
{139.0, 0.91},
{140.0, 0.905},
{141.0, 0.885},
{142.0, 0.92},
{143.0, 0.92},
{144.0, 0.93},
{145.0, 0.88},
{146.0, 0.925},
{147.0, 0.9},
{148.0, 0.935},
{149.0, 0.895},
{150.0, 0.92},
{151.0, 0.94},
{152.0, 0.905},
{153.0, 0.915},
{154.0, 0.91},
{155.0, 0.88},
{156.0, 0.915},
{157.0, 0.91},
{158.0, 0.93},
{159.0, 0.915},
{160.0, 0.935},
{161.0, 0.925},
{162.0, 0.935},
{163.0, 0.92},
{164.0, 0.925},
{165.0, 0.95},
{166.0, 0.935},
{167.0, 0.925},
{168.0, 0.93},
{169.0, 0.94},
{170.0, 0.915},
{171.0, 0.935},
{172.0, 0.93},
{173.0, 0.93},
{174.0, 0.93},
{175.0, 0.925},
{176.0, 0.945},
{177.0, 0.935},
{178.0, 0.925},
{179.0, 0.94},
{180.0, 0.96},
{181.0, 0.91},
{182.0, 0.955},
{183.0, 0.935},
{184.0, 0.925},
{185.0, 0.96},
{186.0, 0.965},
{187.0, 0.94},
{188.0, 0.965},
{189.0, 0.92},
{190.0, 0.895},
{191.0, 0.93},
{192.0, 0.945},
{193.0, 0.945},
{194.0, 0.92},
{195.0, 0.93},
{196.0, 0.945},
{197.0, 0.955},
{198.0, 0.955},
{199.0, 0.965},
{200.0, 0.955},
{201.0, 0.935},
{202.0, 0.96},
{203.0, 0.94},
{204.0, 0.935},
{205.0, 0.945},
{206.0, 0.925},
{207.0, 0.965},
{208.0, 0.93},
{209.0, 0.96},
{210.0, 0.92},
{211.0, 0.93},
{212.0, 0.96},
{213.0, 0.945},
{214.0, 0.945},
{215.0, 0.965},
{216.0, 0.935},
{217.0, 0.965},
{218.0, 0.96},
{219.0, 0.955},
{220.0, 0.955},
{221.0, 0.94},
{222.0, 0.945},
{223.0, 0.945},
{224.0, 0.965},
{225.0, 0.935},
{226.0, 0.965},
{227.0, 0.95},
{228.0, 0.96},
{229.0, 0.94},
{230.0, 0.98},
{231.0, 0.97},
{232.0, 0.93},
{233.0, 0.975},
{234.0, 0.945},
{235.0, 0.935},
{236.0, 0.95},
{237.0, 0.955},
{238.0, 0.975},
{239.0, 0.96},
{240.0, 0.94},
{241.0, 0.96},
{242.0, 0.97},
{243.0, 0.965},
{244.0, 0.94},
{245.0, 0.95},
{246.0, 0.95},
{247.0, 0.97},
{248.0, 0.97},
{249.0, 0.955},
{250.0, 0.98},
{251.0, 0.96},
{252.0, 0.93},
{253.0, 0.935},
{254.0, 0.955},
{255.0, 0.98},
{256.0, 0.99},
{257.0, 0.975},
{258.0, 0.96},
{259.0, 0.97},
{260.0, 0.99},
{261.0, 0.965},
{262.0, 0.96},
{263.0, 0.965},
{264.0, 0.97},
{265.0, 0.955},
{266.0, 0.97},
{267.0, 0.98},
{268.0, 0.98},
{269.0, 0.96},
{270.0, 0.965},
{271.0, 0.96},
{272.0, 0.965},
{273.0, 0.975},
{274.0, 0.99},
{275.0, 0.97},
{276.0, 0.97},
{277.0, 0.985},
{278.0, 0.975},
{279.0, 0.97},
{280.0, 0.965},
{281.0, 0.98},
{282.0, 0.98},
{283.0, 0.97},
{284.0, 0.98},
{285.0, 0.99},
{286.0, 0.99},
{287.0, 0.97},
{288.0, 0.965},
{289.0, 0.975},
{290.0, 0.96},
{291.0, 0.98},
{292.0, 0.955},
{293.0, 0.97},
{294.0, 0.955},
{295.0, 0.965},
{296.0, 0.945},
{297.0, 0.97},
{298.0, 0.985},
{299.0, 0.98},
{300.0, 0.995},
{301.0, 0.965},
{302.0, 0.975},
{303.0, 0.965},
{304.0, 0.965},
{305.0, 0.975},
{306.0, 0.965},
{307.0, 0.985},
{308.0, 0.985},
{309.0, 0.98},
{310.0, 0.985},
{311.0, 0.985},
{312.0, 0.98},
{313.0, 0.97},
{314.0, 0.975},
{315.0, 0.965},
{316.0, 0.97},
{317.0, 0.98},
{318.0, 0.985},
{319.0, 0.965},
{320.0, 0.985},
{321.0, 0.985},
{322.0, 0.97},
{323.0, 0.98},
{324.0, 0.99},
{325.0, 0.98},
{326.0, 0.985},
{327.0, 0.975},
{328.0, 0.975},
{329.0, 0.985},
{330.0, 0.98},
{331.0, 0.99},
{332.0, 0.985},
{333.0, 0.955},
{334.0, 0.975},
{335.0, 0.985},
{336.0, 0.975},
{337.0, 0.965},
{338.0, 0.98},
{339.0, 0.98},
{340.0, 0.975},
{341.0, 0.98},
{342.0, 0.985},
{343.0, 0.975},
{344.0, 0.98},
{345.0, 0.98},
{346.0, 0.98},
{347.0, 0.99},
{348.0, 0.985},
{349.0, 0.99},
{350.0, 0.99},
{351.0, 0.99},
{352.0, 0.98},
{353.0, 0.99},
{354.0, 0.985},
{355.0, 0.97},
{356.0, 0.99},
{357.0, 0.99},
{358.0, 0.98},
{359.0, 0.98},
{360.0, 0.96},
{361.0, 0.99},
{362.0, 0.99},
{363.0, 0.99},
{364.0, 0.98},
{365.0, 0.975},
{366.0, 0.99},
{367.0, 0.98},
{368.0, 0.965},
{369.0, 0.96},
{370.0, 0.985},
{371.0, 0.975},
{372.0, 0.98},
{373.0, 0.995},
{374.0, 0.97},
{375.0, 0.965},
{376.0, 0.98},
{377.0, 0.985},
{378.0, 0.985},
{379.0, 0.975},
{380.0, 0.965},
{381.0, 0.98},
{382.0, 0.985},
{383.0, 0.955},
{384.0, 0.98},
{385.0, 0.975},
{386.0, 0.99},
{387.0, 0.98},
{388.0, 0.97},
{389.0, 0.98},
{390.0, 0.975},
{391.0, 0.985},
{392.0, 0.99},
{393.0, 0.985},
{394.0, 0.965},
{395.0, 0.985},
{396.0, 0.985},
{397.0, 0.99},
{398.0, 0.98},
{399.0, 0.98},
{400.0, 0.985},
{401.0, 0.975},
{402.0, 0.99},
{403.0, 0.98},
{404.0, 0.98},
{405.0, 0.99},
{406.0, 0.97},
{407.0, 0.965},
{408.0, 0.98},
{409.0, 0.98},
{410.0, 0.995},
{411.0, 1.0},
{412.0, 0.99},
{413.0, 0.985},
{414.0, 0.975},
{415.0, 0.995},
{416.0, 0.99},
{417.0, 0.99},
{418.0, 0.985},
{419.0, 0.96},
{420.0, 0.99},
{421.0, 0.985},
{422.0, 0.985},
{423.0, 0.98},
{424.0, 0.98},
{425.0, 0.995},
{426.0, 0.98},
{427.0, 0.98},
{428.0, 0.995},
{429.0, 0.985},
{430.0, 0.985},
{431.0, 0.97},
{432.0, 0.975},
{433.0, 0.99},
{434.0, 0.985},
{435.0, 0.98},
{436.0, 0.985},
{437.0, 0.98},
{438.0, 0.99},
{439.0, 0.995},
{440.0, 0.985},
{441.0, 0.985},
{442.0, 0.995},
{443.0, 0.985},
{444.0, 1.0},
{445.0, 0.995},
{446.0, 0.995},
{447.0, 0.995},
{448.0, 0.99},
{449.0, 0.995},
{450.0, 0.97},
{451.0, 0.965},
{452.0, 0.995},
{453.0, 0.985},
{454.0, 0.99},
{455.0, 0.97},
{456.0, 0.965},
{457.0, 0.98},
{458.0, 0.985},
{459.0, 0.975},
{460.0, 0.97},
{461.0, 0.975},
{462.0, 0.98},
{463.0, 0.985},
{464.0, 0.99},
{465.0, 0.975},
{466.0, 0.995},
{467.0, 0.99},
{468.0, 0.98},
{469.0, 0.995},
{470.0, 0.98},
{471.0, 0.995},
{472.0, 0.955},
{473.0, 0.995},
{474.0, 0.99},
{475.0, 0.985},
{476.0, 1.0},
{477.0, 0.99},
{478.0, 0.985},
{479.0, 0.975},
{480.0, 0.995},
{481.0, 0.97},
{482.0, 0.98},
{483.0, 0.99},
{484.0, 0.995},
{485.0, 0.975},
{486.0, 0.99},
{487.0, 0.99},
{488.0, 0.99},
{489.0, 0.985},
{490.0, 0.99},
{491.0, 0.985},
{492.0, 0.975},
{493.0, 0.99},
{494.0, 0.99},
{495.0, 0.985},
{496.0, 0.985},
